GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWME001,AJWNE001,AJWNE002,AJWNE003,AJWNE004,AJWNE005,AJWNE006,AJWNE007,AJWNE008,AJWNE009,AJWNE010,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJWWE001,AJWWE002,AJWWE003,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXIE001,AJXIE002,AJXIE003,AJXIE004,AJXIE005,AJXIE006,AJXIE007,AJXIE008,AJXIE009,AJXIE010,AJXIE011,AJXIE012,AJXIE013,AJXIE014,AJXIE015,AJXIE016,AJXIE017,AJXIE018,AJXIE019,AJXIE020,AJXIE021,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY4E001,AJY4E002,AJY4E003,AJY4E004,AJY4E005,AJY4E006,AJY4E007,AJY4E008,AJY9E001,AJY9E002,AJY9E003,AJY9E004,AJY9E005,AJY9E006,AJY9E007,AJY9E008,AJY9E009,AJY9E010,AJY9E011,AJY9E012,AJY9E013,AJY9E014,AJY9E015,AJY9E016,AJY9E017,AJZAE001
"G010","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",,,4864680,4864680,3317453,1293186,25576,64609,2182,70055,91619,7079,84540,4864680,4661534,3196730,1285737,23243,63936,1521,7503,82864,2235,80629,203146,120723,7449,2333,673,661,62552,8755,4844,3911,4864680,4661534,203146,2051445,1934423,1760032,174391,135992,23411,8459,3682,2847,6959,6427,126,98,65,243,741,2238,2115,22977,15111,66881,783832,762634,533442,276825,173755,103070,194028,31672,7541,20275,3101,229192,220869,68744,64127,4617,152125,148233,3892,8323,21198,1860269,1229905,883386,346519,78523,267996,630364,548612,81752,3299958,41240,472,496,801,1831,5304,4582,6895,21392,22023,44356,68661,93256,97758,60976,838776,181396,199534,514121,273493,515443,221842,50429,34881,4742208,360959,468441,253831,234252,341805,133637,2949283,1860269,163312,117629,114088,108736,100244,98408,89216,86970,74023,147857,176464,213319,139638,82409,78452,69504,48486
"G020","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",,,738516,738516,478834,24129,106660,46556,8849,11027,62461,3474,58987,738516,687330,450754,22817,103506,45617,8544,1459,54633,645,53988,51186,28080,1312,3154,939,305,9568,7828,2829,4999,738516,687330,51186,358627,290566,246808,43758,32201,6457,3147,1164,789,4981,4598,46,37,23,277,1045,488,3590,27575,13651,16731,78428,76072,52967,25891,16376,9515,18973,3797,1350,1666,1290,23105,20661,8950,7891,1059,11711,10689,1022,2444,2356,253462,167633,125847,41786,14959,26827,85829,65197,20632,477727,3479,97,66,40,504,642,594,607,1473,1126,3617,3233,6331,7390,5561,107913,25938,35716,93703,40052,88053,36794,9506,5292,720674,35602,42263,24577,26230,37870,16387,537745,253462,10230,7609,7962,8567,8830,8897,8630,9759,8172,18000,27311,36073,29553,20043,23692,20134,76715
"G040","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",,,6946685,6946685,5364141,305259,309580,228887,14112,471823,252883,50168,202715,6946685,4783373,3825886,286614,271946,222477,12523,9177,154750,5011,149739,2163312,1538255,18645,37634,6410,1589,462646,98133,45157,52976,6946685,4783373,2163312,3008707,2632801,2306027,326774,250091,47031,15959,8880,4813,57302,52612,2319,1235,883,253,4477,12538,27178,57910,33773,182728,1158320,1139948,812029,396066,258441,137625,309916,58691,18081,21934,7341,327919,299562,107742,94452,13290,191820,179023,12797,28357,18372,2524300,1648126,1200133,447993,138254,309739,876174,689602,186572,4633932,69737,710,896,3815,5991,13724,9556,12742,65142,15961,68009,76200,78493,95350,96676,927855,184696,352036,820125,398147,835120,362611,83023,57317,6788985,509325,582867,341454,323012,479774,199156,4353397,2524300,170434,111075,118026,126194,125448,125317,118929,123277,107425,210570,262334,315900,211274,131233,133172,133692,56213
"G050","2014-2018",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",,,2990671,2990671,2302874,460970,20037,43988,7969,78981,75852,7323,68529,2990671,2771619,2173849,458536,17342,43441,7877,4641,65933,1297,64636,219052,129025,2434,2695,547,92,74340,9919,6026,3893,2990671,2771619,219052,1274750,1189092,1055112,133980,100515,20412,7285,3414,2354,4631,4322,50,110,72,77,801,2134,2205,22089,10341,43457,487536,470036,327067,167867,107813,60054,125966,16864,4571,10045,1754,142969,136992,44566,41276,3290,92426,89489,2937,5977,17500,1152175,764816,558867,205949,52998,152951,387359,327441,59918,1999307,22927,251,383,544,1860,4848,3514,5171,17758,12708,30420,37717,47019,57990,32919,557808,123415,136060,315304,139070,288720,115355,27579,19967,2903003,210464,299873,174549,168010,228923,91671,1729513,1152175,93423,74534,70617,73576,69556,65675,61375,60069,51743,95124,111457,124254,78338,44816,39928,37690,45726
"G060","2014-2018",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",,,39148760,39148760,23529068,2267875,296475,5604339,153366,5415410,1882227,405831,1476396,39148760,23927183,14695836,2164519,138427,5525439,138911,97763,1166288,51799,1114489,15221577,8833232,103356,158048,78900,14455,5317647,715939,354032,361907,39148760,23927183,15221577,17904213,15039427,13203972,1835455,1350936,279525,111333,56220,37441,910567,588949,22326,210027,78582,10683,25127,60775,180761,474721,192025,1020810,5315457,5181095,3742090,1698878,1062237,636641,1182858,488341,150578,163208,58227,1439005,1325080,445650,388501,57149,879430,815030,64400,113925,134362,12965435,8915228,6437416,2477812,773046,1704766,4050207,3084533,965674,26218885,701772,6811,10025,36246,84552,172073,108491,146865,769722,124539,310093,492650,349498,481594,680634,4786892,604228,1498152,4083998,2051313,5445781,2222636,627892,422428,38407403,2401275,3085866,1803821,1746259,2460075,999522,25910585,12965435,656515,573531,499894,536077,510114,513108,480115,495884,439574,880868,1184505,1589511,1225091,877148,1082448,1421052,71228
"G080","2014-2018",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",,,5531141,5531141,4655584,227938,54483,172695,8296,214817,197328,34311,163017,5531141,4346347,3778212,216732,30131,169556,7480,10352,133884,4472,129412,1184794,877372,11206,24352,3139,816,204465,63444,29839,33605,5531141,4346347,1184794,2822072,2374938,2125477,249461,188180,37939,14344,6301,2697,86516,67401,2557,10676,5583,299,1731,4711,33829,80354,21779,218214,740638,723981,501676,249848,162397,87451,196139,30660,11171,10540,3318,222305,209027,71873,64953,6920,137154,130643,6511,13278,16657,2113387,1351683,1050035,301648,97891,203757,761704,578532,183172,3748592,35883,431,598,1503,3080,6093,4412,6915,35856,9617,29217,39105,44023,53024,52961,657022,146409,232804,570533,314214,944470,409786,87493,63143,5409817,269128,321376,200761,199621,309444,134904,3974583,2113387,107807,73311,73097,81688,83573,88139,87818,88689,79871,163943,212739,288416,212974,145127,159913,166282,68811
"G090","2014-2018",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",,,3581504,3581504,2734880,378262,9698,158817,1173,185244,113430,24904,88526,3581504,3019713,2418696,351817,5320,157406,752,11421,74301,4821,69480,561791,316184,26445,4378,1411,421,173823,39129,20083,19046,3581504,3019713,561791,1780653,1535452,1391925,143527,114248,16759,6390,3325,2805,84347,41788,351,2226,39810,172,2505,1284,4895,49525,12079,90566,587580,561882,382120,187573,113259,74314,143009,29366,9033,9976,3163,179762,170116,51888,47195,4693,118228,112618,5610,9646,25698,1367374,892940,660364,232576,61758,170818,474434,390350,84084,2478708,25659,299,337,1175,2064,4887,5367,7977,18547,8004,26752,27957,36056,35711,35034,591158,79361,129622,286645,190869,538924,309751,74380,42172,3474901,162335,186114,109143,108435,167105,63140,2678629,1367374,70710,48894,48387,52382,49434,48131,49118,50303,46092,91410,120646,170246,133855,101684,123672,162410,76106
"G100","2014-2018",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",,,949495,949495,654905,209892,3455,36723,477,18034,26009,2578,23431,949495,863180,595623,204665,2851,36464,276,1804,21497,692,20805,86315,59282,5227,604,259,201,16230,4512,1886,2626,949495,863180,86315,444908,396966,360365,36601,28510,5055,1376,1044,616,11739,9067,82,319,2196,75,137,433,1328,9518,3154,21633,167129,162749,118252,58806,37376,21430,45006,7452,2723,2944,1321,44497,41381,13574,12113,1461,27807,26355,1452,3116,4380,357765,237901,174333,63568,16416,47152,119864,97487,22377,659979,6867,161,110,229,395,936,653,1000,4123,2190,6210,8197,12535,13701,10175,187042,21515,39834,85352,51522,120794,62275,12399,11764,923678,50291,59507,31323,33137,50650,21816,676954,357765,19901,12769,12490,15416,15365,16843,15105,14978,13875,27672,36996,50512,34311,22450,25568,23514,65627
"G110","2014-2018",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",,,684498,684498,280469,321317,1993,26718,340,33518,20143,2631,17512,684498,609722,248057,315281,1314,26278,280,2648,15864,760,15104,74776,32412,6036,679,440,60,30870,4279,1871,2408,684498,609722,74776,366168,144993,125462,19531,14271,3310,1039,576,335,127530,50181,712,75595,1000,42,3131,557,16350,48047,3155,22405,81712,78032,42468,21954,9881,12073,12351,3928,517,2844,874,35564,33392,11773,10611,1162,21619,20507,1112,2172,3680,281322,121788,71726,50062,9811,40251,159534,124201,35333,486981,5399,144,19,355,512,1248,852,1497,3257,1730,3973,5531,6759,8912,5617,70723,12849,16914,45704,14637,118817,100571,40220,20741,650912,59892,49605,23513,20312,25517,11314,460759,281322,25944,12630,9426,8331,9622,8259,6817,7775,7474,14176,20711,30248,26126,19635,26806,47342,82604
"G120","2014-2018",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",,,20598139,20598139,15529098,3316376,58118,559168,12887,580152,542340,92522,449818,20598139,15413419,11196857,3167011,41776,548642,10770,68744,379619,24067,355552,5184720,4332241,149365,16342,10526,2117,511408,162721,68455,94266,20598139,15413419,5184720,9140393,8096487,7255390,841097,645120,118199,43685,21406,12687,176146,157889,1289,9586,6519,863,16176,24884,58229,129987,103965,534519,4064376,3984138,2817155,1314932,859764,455168,998357,278468,79487,113556,32355,1166983,1061293,366361,318999,47362,694932,653147,41785,105690,80238,7621760,4917841,3560518,1357323,370231,987092,2703919,2188759,515160,14686727,217948,4133,3079,8925,17094,38446,32368,47359,147540,65779,141153,211071,251295,269658,313641,3616947,614731,941022,2022451,1438630,2721635,1081844,310270,169708,20178544,1299551,1684300,1043650,1031014,1468272,610299,13041458,7621760,520876,360160,389340,410675,410787,402990,382842,377521,331613,630925,770510,907315,592612,356367,368189,409038,53267
