GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWMM001,AJWNM001,AJWNM002,AJWNM003,AJWNM004,AJWNM005,AJWNM006,AJWNM007,AJWNM008,AJWNM009,AJWNM010,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJWWM001,AJWWM002,AJWWM003,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXIM001,AJXIM002,AJXIM003,AJXIM004,AJXIM005,AJXIM006,AJXIM007,AJXIM008,AJXIM009,AJXIM010,AJXIM011,AJXIM012,AJXIM013,AJXIM014,AJXIM015,AJXIM016,AJXIM017,AJXIM018,AJXIM019,AJXIM020,AJXIM021,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY4M001,AJY4M002,AJY4M003,AJY4M004,AJY4M005,AJY4M006,AJY4M007,AJY4M008,AJY9M001,AJY9M002,AJY9M003,AJY9M004,AJY9M005,AJY9M006,AJY9M007,AJY9M008,AJY9M009,AJY9M010,AJY9M011,AJY9M012,AJY9M013,AJY9M014,AJY9M015,AJY9M016,AJY9M017,AJZAM001
"G010","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",,,0,0,3345,2745,1335,1251,546,3631,3331,878,3190,0,393,847,2516,1178,1243,265,1299,3183,607,3099,393,3154,1000,620,232,512,3295,986,766,710,0,393,393,7865,8203,8306,3364,2986,1195,877,501,513,682,672,84,83,45,134,174,316,304,1206,1003,2140,626,868,3146,1845,1744,1630,1799,1665,624,1184,500,3209,3156,1517,1398,470,2477,2443,351,669,553,6522,6269,6445,3648,2159,3171,4397,4291,2253,1188,1648,127,153,175,302,562,504,602,1209,1202,1509,2298,2640,2554,1765,6848,2908,3539,5357,3743,5193,3434,1679,1303,1024,8202,10030,5720,7044,9490,4840,17184,6522,2676,2606,2510,1883,2115,2435,1920,2274,1567,2418,2939,3268,2736,1887,2187,1615,364
"G020","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",,,0,0,1368,834,1515,1030,485,1329,1816,548,1783,0,121,457,675,1355,969,413,566,1766,212,1734,121,1319,357,603,332,181,1166,745,525,596,0,121,121,1842,2199,2440,1763,1474,669,527,246,161,523,516,59,28,31,77,185,128,438,1128,667,803,317,387,997,664,527,442,577,390,287,289,360,945,867,527,519,160,548,537,167,445,306,1351,1876,1680,1287,919,1005,1668,1659,935,371,474,60,57,20,188,149,112,161,255,182,323,289,512,499,441,1954,1087,1239,1816,1179,1745,1313,786,523,506,1633,2242,1547,1570,2053,1278,3729,1351,612,558,492,588,598,549,632,661,547,933,1122,1169,1121,881,891,917,894
"G040","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",,,0,0,9871,2794,3307,2442,625,7938,5372,2420,4439,0,0,1181,2564,1835,2133,512,1298,3960,667,3894,0,9886,1490,2670,942,449,7973,3814,2425,2611,0,0,0,8646,9734,9270,5309,4185,2065,1177,804,473,2125,2087,367,256,215,139,593,773,1363,1756,1344,3178,305,770,3720,2370,2287,1880,2397,2279,1051,1528,794,3801,3719,2147,2102,816,2606,2611,620,1390,709,6840,7057,8008,4804,2900,3967,5604,5275,2991,583,1874,179,210,566,584,967,942,908,2371,887,1824,2009,2342,2714,2342,7247,3265,4682,6328,4241,5125,4658,1868,1782,1550,9122,10384,9115,7844,8777,6664,17324,6840,2907,2320,2350,2140,2823,2468,2182,2663,2398,2963,3299,3575,2715,2328,2252,2275,275
"G050","2014-2018",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",,,0,0,2783,1946,1190,1091,639,3353,2749,922,2276,0,321,793,1812,977,1080,627,985,2122,323,2061,321,2748,451,634,197,83,3062,1178,919,660,0,321,321,6555,6648,6149,3156,2549,1147,743,579,351,521,516,58,81,53,51,219,341,317,1234,890,1620,716,853,2144,1565,1551,1303,1302,1146,540,837,321,2271,2218,1338,1267,463,1672,1723,302,590,468,4053,4296,4462,3032,1837,2311,3793,3858,1676,967,1080,85,173,178,373,699,476,588,1049,861,1057,1373,1476,2002,1278,5239,2503,2771,4205,2718,4006,2791,1241,1094,988,5873,6445,4878,5607,6581,4553,10997,4053,2190,1930,1758,1799,1781,1729,1844,1670,1624,2295,2156,2430,1770,1326,1337,1296,350
"G060","2014-2018",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",,,0,0,26419,8045,5495,8962,2473,34695,23736,10151,17502,0,0,3121,6255,2841,8702,2227,3056,13507,2448,12878,0,26248,4744,5021,3224,1538,34416,14668,9400,8706,0,0,0,22700,23522,18894,14997,10705,5168,2886,2429,1600,6572,5646,1217,3502,2108,786,1559,1987,3703,5255,3866,7531,600,1798,9534,5790,5312,5103,4534,5774,3015,3917,2040,9229,9252,4353,4402,1635,6564,6323,1722,3012,1752,19785,24043,30928,11008,6430,8349,10913,10227,7678,1095,8948,480,833,1611,2499,2979,3019,3186,10737,2664,5180,6953,5346,6317,6693,27452,6997,16548,21991,11158,19169,15841,6349,5012,3254,20801,27188,20415,20495,24081,13547,62489,19785,5476,5614,4756,5470,4238,5168,4412,5660,4621,6541,6837,8426,7866,7280,9078,9258,217
"G080","2014-2018",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",,,0,0,5852,2446,1913,1886,516,5320,4702,1886,4099,0,366,1322,2260,1090,1824,415,1333,3379,652,3285,366,5647,1146,1691,543,310,5122,2853,1758,2279,0,366,366,6790,7132,7967,3907,3411,1850,1186,751,358,2352,2154,419,609,581,130,348,413,1184,2111,1194,2852,523,703,2758,1918,1791,1564,1685,1353,794,763,378,2629,2536,1353,1403,539,1791,1778,486,919,474,4542,6051,7250,4052,2106,3126,5103,4607,2565,950,1583,119,136,348,496,708,690,646,1737,859,1613,1583,1674,1724,1631,6129,2602,3577,4773,3912,5943,4268,1864,1520,1092,6312,7518,4983,6205,6388,4669,14257,4542,2019,1785,1746,1790,2037,1876,1823,1837,1903,2658,2996,3617,3304,2313,2247,2383,364
"G090","2014-2018",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",,,0,0,5407,2718,1118,1472,278,5550,3456,1542,3157,0,0,1034,1870,598,1395,200,1287,2467,595,2381,0,5137,2189,973,354,181,5287,2184,1485,1684,0,0,0,5383,6331,6347,3578,3003,1105,826,509,444,2121,1828,139,313,1126,69,372,254,495,1834,958,2176,234,645,2871,1763,1868,1562,1485,1416,768,791,336,2816,2606,1391,1290,403,1899,1851,439,611,618,3671,4443,4850,3193,1903,2706,3819,3315,1948,350,1186,102,114,262,424,641,582,834,1239,832,1370,1182,1277,1241,1274,5962,2034,2587,3935,2987,4392,3608,1708,1422,837,4737,5149,4109,4504,4916,3592,9607,3671,1760,1571,1411,1595,1460,1640,1411,1543,1522,2224,2527,2811,2248,2204,1983,2323,552
"G100","2014-2018",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",,,0,0,2245,1374,484,727,296,1832,1486,445,1462,0,0,324,1116,369,705,73,431,1293,253,1304,0,2174,829,286,149,302,1780,704,400,593,0,0,0,2826,3200,3347,1615,1351,636,264,419,179,855,705,52,127,355,64,78,148,262,731,444,1058,49,176,1428,887,929,740,998,687,403,418,327,1441,1305,682,635,226,902,834,245,460,181,1676,2194,2127,1766,774,1418,2454,2134,979,249,787,94,54,144,153,228,186,264,626,345,679,770,746,943,691,2771,936,1599,2184,1653,1823,1569,817,737,588,2357,2865,2170,2503,2717,1989,5163,1676,1004,715,753,759,837,913,827,972,796,961,1269,1454,1202,903,1029,950,768
"G110","2014-2018",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",,,0,0,1909,1354,506,625,84,2126,1273,550,1116,0,0,358,1027,186,594,75,621,1026,208,1001,0,1904,1001,464,180,47,1879,765,507,519,0,0,0,2437,2469,2329,1130,963,527,250,223,172,2737,2026,219,2042,185,49,414,182,989,1713,460,1116,90,410,918,694,543,530,516,519,139,390,214,914,963,540,546,215,642,651,210,359,425,1459,1584,1313,1053,605,978,1670,1791,1029,106,700,78,26,185,245,401,268,355,519,331,542,611,526,723,527,1900,845,983,1640,950,2133,1931,1436,1143,379,2857,2517,2405,1918,1869,1362,3784,1459,1070,726,726,672,759,616,630,573,687,874,973,1077,1046,907,1050,1165,1081
"G120","2014-2018",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",,,0,0,12322,7779,2307,3104,996,11223,11178,4414,9480,0,0,3346,6159,1520,3109,846,3694,8121,2149,8129,0,11874,5662,1744,1048,463,10442,5709,3725,4346,0,0,0,18857,19602,17096,11178,8571,3931,2130,1490,1168,4470,4450,298,830,713,248,1262,1225,2193,3016,3089,7046,869,1729,9167,5528,4820,4479,5265,6813,3127,3967,1912,9114,8827,4273,3929,1538,6144,5997,1445,3353,1398,23468,23203,23030,7861,5108,6220,12480,11767,5314,1719,4572,471,415,846,1474,2025,1416,1962,4138,2392,3589,5061,4425,4356,5814,27717,6830,11230,12242,11342,16901,10439,4675,3522,2671,16347,20643,13707,14929,18954,11672,41015,23468,5685,4358,4319,4517,4654,5032,5020,4820,4438,6020,7117,8829,6327,5144,5292,5026,181
