GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,AJWNE001,AJWNE002,AJWNE003,AJWNE004,AJWNE005,AJWNE006,AJWNE007,AJWNE008,AJWNE009,AJWNE010,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJWWE001,AJWWE002,AJWWE003,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY4E001,AJY4E002,AJY4E003,AJY4E004,AJY4E005,AJY4E006,AJY4E007,AJY4E008,AJY9E001,AJY9E002,AJY9E003,AJY9E004,AJY9E005,AJY9E006,AJY9E007,AJY9E008,AJY9E009,AJY9E010,AJY9E011,AJY9E012,AJY9E013,AJY9E014,AJY9E015,AJY9E016,AJY9E017,AJZAE001,NAME_M,AJWMM001,AJWNM001,AJWNM002,AJWNM003,AJWNM004,AJWNM005,AJWNM006,AJWNM007,AJWNM008,AJWNM009,AJWNM010,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJWWM001,AJWWM002,AJWWM003,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY4M001,AJY4M002,AJY4M003,AJY4M004,AJY4M005,AJY4M006,AJY4M007,AJY4M008,AJY9M001,AJY9M002,AJY9M003,AJY9M004,AJY9M005,AJY9M006,AJY9M007,AJY9M008,AJY9M009,AJY9M010,AJY9M011,AJY9M012,AJY9M013,AJY9M014,AJY9M015,AJY9M016,AJY9M017,AJZAM001
"G010","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4864680,4864680,3317453,1293186,25576,64609,2182,70055,91619,7079,84540,4864680,4661534,3196730,1285737,23243,63936,1521,7503,82864,2235,80629,203146,120723,7449,2333,673,661,62552,8755,4844,3911,4864680,4661534,203146,2051445,1934423,1760032,174391,135992,23411,8459,3682,2847,6959,6427,126,98,65,243,741,2238,2115,22977,15111,66881,1860269,1229905,883386,346519,78523,267996,630364,548612,81752,3299958,41240,472,496,801,1831,5304,4582,6895,21392,22023,44356,68661,93256,97758,60976,838776,181396,199534,514121,273493,515443,221842,50429,34881,4742208,360959,468441,253831,234252,341805,133637,2949283,1860269,163312,117629,114088,108736,100244,98408,89216,86970,74023,147857,176464,213319,139638,82409,78452,69504,48486,"Alabama",0,0,3345,2745,1335,1251,546,3631,3331,878,3190,0,393,847,2516,1178,1243,265,1299,3183,607,3099,393,3154,1000,620,232,512,3295,986,766,710,0,393,393,7865,8203,8306,3364,2986,1195,877,501,513,682,672,84,83,45,134,174,316,304,1206,1003,2140,6522,6269,6445,3648,2159,3171,4397,4291,2253,1188,1648,127,153,175,302,562,504,602,1209,1202,1509,2298,2640,2554,1765,6848,2908,3539,5357,3743,5193,3434,1679,1303,1024,8202,10030,5720,7044,9490,4840,17184,6522,2676,2606,2510,1883,2115,2435,1920,2274,1567,2418,2939,3268,2736,1887,2187,1615,364
"G020","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",738516,738516,478834,24129,106660,46556,8849,11027,62461,3474,58987,738516,687330,450754,22817,103506,45617,8544,1459,54633,645,53988,51186,28080,1312,3154,939,305,9568,7828,2829,4999,738516,687330,51186,358627,290566,246808,43758,32201,6457,3147,1164,789,4981,4598,46,37,23,277,1045,488,3590,27575,13651,16731,253462,167633,125847,41786,14959,26827,85829,65197,20632,477727,3479,97,66,40,504,642,594,607,1473,1126,3617,3233,6331,7390,5561,107913,25938,35716,93703,40052,88053,36794,9506,5292,720674,35602,42263,24577,26230,37870,16387,537745,253462,10230,7609,7962,8567,8830,8897,8630,9759,8172,18000,27311,36073,29553,20043,23692,20134,76715,"Alaska",0,0,1368,834,1515,1030,485,1329,1816,548,1783,0,121,457,675,1355,969,413,566,1766,212,1734,121,1319,357,603,332,181,1166,745,525,596,0,121,121,1842,2199,2440,1763,1474,669,527,246,161,523,516,59,28,31,77,185,128,438,1128,667,803,1351,1876,1680,1287,919,1005,1668,1659,935,371,474,60,57,20,188,149,112,161,255,182,323,289,512,499,441,1954,1087,1239,1816,1179,1745,1313,786,523,506,1633,2242,1547,1570,2053,1278,3729,1351,612,558,492,588,598,549,632,661,547,933,1122,1169,1121,881,891,917,894
"G040","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",6946685,6946685,5364141,305259,309580,228887,14112,471823,252883,50168,202715,6946685,4783373,3825886,286614,271946,222477,12523,9177,154750,5011,149739,2163312,1538255,18645,37634,6410,1589,462646,98133,45157,52976,6946685,4783373,2163312,3008707,2632801,2306027,326774,250091,47031,15959,8880,4813,57302,52612,2319,1235,883,253,4477,12538,27178,57910,33773,182728,2524300,1648126,1200133,447993,138254,309739,876174,689602,186572,4633932,69737,710,896,3815,5991,13724,9556,12742,65142,15961,68009,76200,78493,95350,96676,927855,184696,352036,820125,398147,835120,362611,83023,57317,6788985,509325,582867,341454,323012,479774,199156,4353397,2524300,170434,111075,118026,126194,125448,125317,118929,123277,107425,210570,262334,315900,211274,131233,133172,133692,56213,"Arizona",0,0,9871,2794,3307,2442,625,7938,5372,2420,4439,0,0,1181,2564,1835,2133,512,1298,3960,667,3894,0,9886,1490,2670,942,449,7973,3814,2425,2611,0,0,0,8646,9734,9270,5309,4185,2065,1177,804,473,2125,2087,367,256,215,139,593,773,1363,1756,1344,3178,6840,7057,8008,4804,2900,3967,5604,5275,2991,583,1874,179,210,566,584,967,942,908,2371,887,1824,2009,2342,2714,2342,7247,3265,4682,6328,4241,5125,4658,1868,1782,1550,9122,10384,9115,7844,8777,6664,17324,6840,2907,2320,2350,2140,2823,2468,2182,2663,2398,2963,3299,3575,2715,2328,2252,2275,275
"G050","2014-2018",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2990671,2990671,2302874,460970,20037,43988,7969,78981,75852,7323,68529,2990671,2771619,2173849,458536,17342,43441,7877,4641,65933,1297,64636,219052,129025,2434,2695,547,92,74340,9919,6026,3893,2990671,2771619,219052,1274750,1189092,1055112,133980,100515,20412,7285,3414,2354,4631,4322,50,110,72,77,801,2134,2205,22089,10341,43457,1152175,764816,558867,205949,52998,152951,387359,327441,59918,1999307,22927,251,383,544,1860,4848,3514,5171,17758,12708,30420,37717,47019,57990,32919,557808,123415,136060,315304,139070,288720,115355,27579,19967,2903003,210464,299873,174549,168010,228923,91671,1729513,1152175,93423,74534,70617,73576,69556,65675,61375,60069,51743,95124,111457,124254,78338,44816,39928,37690,45726,"Arkansas",0,0,2783,1946,1190,1091,639,3353,2749,922,2276,0,321,793,1812,977,1080,627,985,2122,323,2061,321,2748,451,634,197,83,3062,1178,919,660,0,321,321,6555,6648,6149,3156,2549,1147,743,579,351,521,516,58,81,53,51,219,341,317,1234,890,1620,4053,4296,4462,3032,1837,2311,3793,3858,1676,967,1080,85,173,178,373,699,476,588,1049,861,1057,1373,1476,2002,1278,5239,2503,2771,4205,2718,4006,2791,1241,1094,988,5873,6445,4878,5607,6581,4553,10997,4053,2190,1930,1758,1799,1781,1729,1844,1670,1624,2295,2156,2430,1770,1326,1337,1296,350
"G060","2014-2018",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",39148760,39148760,23529068,2267875,296475,5604339,153366,5415410,1882227,405831,1476396,39148760,23927183,14695836,2164519,138427,5525439,138911,97763,1166288,51799,1114489,15221577,8833232,103356,158048,78900,14455,5317647,715939,354032,361907,39148760,23927183,15221577,17904213,15039427,13203972,1835455,1350936,279525,111333,56220,37441,910567,588949,22326,210027,78582,10683,25127,60775,180761,474721,192025,1020810,12965435,8915228,6437416,2477812,773046,1704766,4050207,3084533,965674,26218885,701772,6811,10025,36246,84552,172073,108491,146865,769722,124539,310093,492650,349498,481594,680634,4786892,604228,1498152,4083998,2051313,5445781,2222636,627892,422428,38407403,2401275,3085866,1803821,1746259,2460075,999522,25910585,12965435,656515,573531,499894,536077,510114,513108,480115,495884,439574,880868,1184505,1589511,1225091,877148,1082448,1421052,71228,"California",0,0,26419,8045,5495,8962,2473,34695,23736,10151,17502,0,0,3121,6255,2841,8702,2227,3056,13507,2448,12878,0,26248,4744,5021,3224,1538,34416,14668,9400,8706,0,0,0,22700,23522,18894,14997,10705,5168,2886,2429,1600,6572,5646,1217,3502,2108,786,1559,1987,3703,5255,3866,7531,19785,24043,30928,11008,6430,8349,10913,10227,7678,1095,8948,480,833,1611,2499,2979,3019,3186,10737,2664,5180,6953,5346,6317,6693,27452,6997,16548,21991,11158,19169,15841,6349,5012,3254,20801,27188,20415,20495,24081,13547,62489,19785,5476,5614,4756,5470,4238,5168,4412,5660,4621,6541,6837,8426,7866,7280,9078,9258,217
"G080","2014-2018",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",5531141,5531141,4655584,227938,54483,172695,8296,214817,197328,34311,163017,5531141,4346347,3778212,216732,30131,169556,7480,10352,133884,4472,129412,1184794,877372,11206,24352,3139,816,204465,63444,29839,33605,5531141,4346347,1184794,2822072,2374938,2125477,249461,188180,37939,14344,6301,2697,86516,67401,2557,10676,5583,299,1731,4711,33829,80354,21779,218214,2113387,1351683,1050035,301648,97891,203757,761704,578532,183172,3748592,35883,431,598,1503,3080,6093,4412,6915,35856,9617,29217,39105,44023,53024,52961,657022,146409,232804,570533,314214,944470,409786,87493,63143,5409817,269128,321376,200761,199621,309444,134904,3974583,2113387,107807,73311,73097,81688,83573,88139,87818,88689,79871,163943,212739,288416,212974,145127,159913,166282,68811,"Colorado",0,0,5852,2446,1913,1886,516,5320,4702,1886,4099,0,366,1322,2260,1090,1824,415,1333,3379,652,3285,366,5647,1146,1691,543,310,5122,2853,1758,2279,0,366,366,6790,7132,7967,3907,3411,1850,1186,751,358,2352,2154,419,609,581,130,348,413,1184,2111,1194,2852,4542,6051,7250,4052,2106,3126,5103,4607,2565,950,1583,119,136,348,496,708,690,646,1737,859,1613,1583,1674,1724,1631,6129,2602,3577,4773,3912,5943,4268,1864,1520,1092,6312,7518,4983,6205,6388,4669,14257,4542,2019,1785,1746,1790,2037,1876,1823,1837,1903,2658,2996,3617,3304,2313,2247,2383,364
"G090","2014-2018",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3581504,3581504,2734880,378262,9698,158817,1173,185244,113430,24904,88526,3581504,3019713,2418696,351817,5320,157406,752,11421,74301,4821,69480,561791,316184,26445,4378,1411,421,173823,39129,20083,19046,3581504,3019713,561791,1780653,1535452,1391925,143527,114248,16759,6390,3325,2805,84347,41788,351,2226,39810,172,2505,1284,4895,49525,12079,90566,1367374,892940,660364,232576,61758,170818,474434,390350,84084,2478708,25659,299,337,1175,2064,4887,5367,7977,18547,8004,26752,27957,36056,35711,35034,591158,79361,129622,286645,190869,538924,309751,74380,42172,3474901,162335,186114,109143,108435,167105,63140,2678629,1367374,70710,48894,48387,52382,49434,48131,49118,50303,46092,91410,120646,170246,133855,101684,123672,162410,76106,"Connecticut",0,0,5407,2718,1118,1472,278,5550,3456,1542,3157,0,0,1034,1870,598,1395,200,1287,2467,595,2381,0,5137,2189,973,354,181,5287,2184,1485,1684,0,0,0,5383,6331,6347,3578,3003,1105,826,509,444,2121,1828,139,313,1126,69,372,254,495,1834,958,2176,3671,4443,4850,3193,1903,2706,3819,3315,1948,350,1186,102,114,262,424,641,582,834,1239,832,1370,1182,1277,1241,1274,5962,2034,2587,3935,2987,4392,3608,1708,1422,837,4737,5149,4109,4504,4916,3592,9607,3671,1760,1571,1411,1595,1460,1640,1411,1543,1522,2224,2527,2811,2248,2204,1983,2323,552
"G100","2014-2018",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",949495,949495,654905,209892,3455,36723,477,18034,26009,2578,23431,949495,863180,595623,204665,2851,36464,276,1804,21497,692,20805,86315,59282,5227,604,259,201,16230,4512,1886,2626,949495,863180,86315,444908,396966,360365,36601,28510,5055,1376,1044,616,11739,9067,82,319,2196,75,137,433,1328,9518,3154,21633,357765,237901,174333,63568,16416,47152,119864,97487,22377,659979,6867,161,110,229,395,936,653,1000,4123,2190,6210,8197,12535,13701,10175,187042,21515,39834,85352,51522,120794,62275,12399,11764,923678,50291,59507,31323,33137,50650,21816,676954,357765,19901,12769,12490,15416,15365,16843,15105,14978,13875,27672,36996,50512,34311,22450,25568,23514,65627,"Delaware",0,0,2245,1374,484,727,296,1832,1486,445,1462,0,0,324,1116,369,705,73,431,1293,253,1304,0,2174,829,286,149,302,1780,704,400,593,0,0,0,2826,3200,3347,1615,1351,636,264,419,179,855,705,52,127,355,64,78,148,262,731,444,1058,1676,2194,2127,1766,774,1418,2454,2134,979,249,787,94,54,144,153,228,186,264,626,345,679,770,746,943,691,2771,936,1599,2184,1653,1823,1569,817,737,588,2357,2865,2170,2503,2717,1989,5163,1676,1004,715,753,759,837,913,827,972,796,961,1269,1454,1202,903,1029,950,768
"G110","2014-2018",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",684498,684498,280469,321317,1993,26718,340,33518,20143,2631,17512,684498,609722,248057,315281,1314,26278,280,2648,15864,760,15104,74776,32412,6036,679,440,60,30870,4279,1871,2408,684498,609722,74776,366168,144993,125462,19531,14271,3310,1039,576,335,127530,50181,712,75595,1000,42,3131,557,16350,48047,3155,22405,281322,121788,71726,50062,9811,40251,159534,124201,35333,486981,5399,144,19,355,512,1248,852,1497,3257,1730,3973,5531,6759,8912,5617,70723,12849,16914,45704,14637,118817,100571,40220,20741,650912,59892,49605,23513,20312,25517,11314,460759,281322,25944,12630,9426,8331,9622,8259,6817,7775,7474,14176,20711,30248,26126,19635,26806,47342,82604,"District of Columbia",0,0,1909,1354,506,625,84,2126,1273,550,1116,0,0,358,1027,186,594,75,621,1026,208,1001,0,1904,1001,464,180,47,1879,765,507,519,0,0,0,2437,2469,2329,1130,963,527,250,223,172,2737,2026,219,2042,185,49,414,182,989,1713,460,1116,1459,1584,1313,1053,605,978,1670,1791,1029,106,700,78,26,185,245,401,268,355,519,331,542,611,526,723,527,1900,845,983,1640,950,2133,1931,1436,1143,379,2857,2517,2405,1918,1869,1362,3784,1459,1070,726,726,672,759,616,630,573,687,874,973,1077,1046,907,1050,1165,1081
"G120","2014-2018",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",20598139,20598139,15529098,3316376,58118,559168,12887,580152,542340,92522,449818,20598139,15413419,11196857,3167011,41776,548642,10770,68744,379619,24067,355552,5184720,4332241,149365,16342,10526,2117,511408,162721,68455,94266,20598139,15413419,5184720,9140393,8096487,7255390,841097,645120,118199,43685,21406,12687,176146,157889,1289,9586,6519,863,16176,24884,58229,129987,103965,534519,7621760,4917841,3560518,1357323,370231,987092,2703919,2188759,515160,14686727,217948,4133,3079,8925,17094,38446,32368,47359,147540,65779,141153,211071,251295,269658,313641,3616947,614731,941022,2022451,1438630,2721635,1081844,310270,169708,20178544,1299551,1684300,1043650,1031014,1468272,610299,13041458,7621760,520876,360160,389340,410675,410787,402990,382842,377521,331613,630925,770510,907315,592612,356367,368189,409038,53267,"Florida",0,0,12322,7779,2307,3104,996,11223,11178,4414,9480,0,0,3346,6159,1520,3109,846,3694,8121,2149,8129,0,11874,5662,1744,1048,463,10442,5709,3725,4346,0,0,0,18857,19602,17096,11178,8571,3931,2130,1490,1168,4470,4450,298,830,713,248,1262,1225,2193,3016,3089,7046,23468,23203,23030,7861,5108,6220,12480,11767,5314,1719,4572,471,415,846,1474,2025,1416,1962,4138,2392,3589,5061,4425,4356,5814,27717,6830,11230,12242,11342,16901,10439,4675,3522,2671,16347,20643,13707,14929,18954,11672,41015,23468,5685,4358,4319,4517,4654,5032,5020,4820,4438,6020,7117,8829,6327,5144,5292,5026,181
